21.691, -0.101, 172.474, 672.416, 32.716, 200.000, 0.000, 0.719, 0.025
22.551, -0.106, 167.325, 1005.324, 33.716, 200.000, 0.000, 0.720, 0.025
23.423, -0.112, 175.048, 1158.605, 34.716, 200.000, 0.000, 0.644, 0.025
24.302, -0.118, 177.622, 828.092, 35.716, 200.000, 0.000, 0.697, 0.026
25.176, -0.123, 175.048, 341.903, 36.716, 200.000, 0.000, 0.672, 0.026
26.046, -0.129, 175.048, -280.802, 37.716, 200.000, 0.000, 0.648, 0.026
26.912, -0.135, 172.474, -244.876, 38.716, 200.000, 0.000, 0.701, 0.027
27.761, -0.140, 172.474, -467.613, 39.716, 200.000, 0.000, 0.702, 0.027
28.633, -0.147, 180.196, 320.348, 40.716, 200.000, 0.000, 0.678, 0.029
29.508, -0.153, 180.196, 619.726, 41.716, 200.000, 0.000, 0.731, 0.030
30.393, -0.160, 175.048, -192.186, 42.716, 200.000, 0.000, 0.654, 0.031
31.285, -0.167, 177.622, 250.893, 43.716, 200.000, 0.000, 0.681, 0.029
32.202, -0.173, 187.919, 265.263, 44.715, 200.000, 0.000, 0.605, 0.028
33.122, -0.179, 180.196, -132.310, 45.715, 200.000, 0.000, 0.657, 0.027
34.044, -0.185, 180.196, 389.804, 46.715, 200.000, 0.000, 0.581, 0.025
34.970, -0.191, 180.196, 629.306, 47.715, 200.000, 0.000, 0.582, 0.023
35.884, -0.196, 180.196, 705.946, 48.715, 200.000, 0.000, 0.660, 0.022
36.788, -0.200, 185.345, 289.213, 49.715, 200.000, 0.000, 0.635, 0.020
37.693, -0.205, 177.622, 286.818, 50.715, 200.000, 0.000, 0.687, 0.019
38.583, -0.209, 177.622, 104.796, 51.715, 200.000, 0.000, 0.585, 0.017
39.491, -0.212, 185.345, -256.851, 52.715, 200.000, 0.000, 0.586, 0.016
40.397, -0.216, 185.345, -544.254, 53.715, 200.000, 0.000, 0.664, 0.015
41.303, -0.219, 180.196, -764.596, 54.715, 200.000, 0.000, 0.588, 0.014
42.191, -0.222, 180.196, -1025.653, 55.715, 200.000, 0.000, 0.641, 0.012
43.116, -0.224, 187.919, -338.282, 56.715, 200.000, 0.000, 0.590, 0.011
44.025, -0.227, 182.771, -1284.315, 57.715, 200.000, 0.000, 0.591, 0.011
44.935, -0.229, 180.196, -479.588, 58.715, 200.000, 0.000, 0.618, 0.010
45.863, -0.232, 187.919, 432.914, 59.715, 200.000, 0.000, 0.567, 0.011
46.764, -0.234, 177.622, -302.357, 60.715, 200.000, 0.000, 0.671, 0.012
47.674, -0.237, 185.345, 212.572, 61.715, 200.000, 0.000, 0.672, 0.013
48.566, -0.240, 177.622, 741.872, 62.715, 200.000, 0.000, 0.698, 0.014
49.472, -0.244, 177.622, 722.712, 63.715, 200.000, 0.000, 0.571, 0.015
50.382, -0.248, 175.048, 720.317, 64.715, 200.000, 0.000, 0.649, 0.017
51.284, -0.251, 182.771, 1278.356, 65.715, 200.000, 0.000, 0.650, 0.017
52.193, -0.256, 177.622, 358.669, 66.715, 200.000, 0.000, 0.676, 0.019
53.107, -0.260, 182.771, 665.231, 67.715, 200.000, 0.000, 0.574, 0.019
54.038, -0.264, 180.196, 416.149, 68.715, 200.000, 0.000, 0.575, 0.019
54.966, -0.269, 187.919, 784.982, 69.715, 200.000, 0.000, 0.602, 0.019
55.903, -0.273, 187.919, -22.140, 70.715, 200.000, 0.000, 0.551, 0.019
56.840, -0.278, 182.771, -185.001, 71.715, 200.000, 0.000, 0.603, 0.019
57.757, -0.282, 185.345, -834.051, 72.715, 200.000, 0.000, 0.552, 0.019
58.688, -0.286, 177.622, -335.887, 73.715, 200.000, 0.000, 0.579, 0.018
59.598, -0.290, 185.345, -795.731, 74.715, 200.000, 0.000, 0.605, 0.018
60.522, -0.294, 185.345, -692.745, 75.715, 200.000, 0.000, 0.580, 0.017
61.436, -0.298, 185.345, 248.498, 76.715, 200.000, 0.000, 0.633, 0.016
62.361, -0.301, 182.771, -544.254, 77.715, 200.000, 0.000, 0.556, 0.014
63.267, -0.305, 182.771, -400.553, 78.715, 200.000, 0.000, 0.634, 0.013
64.203, -0.308, 190.493, -48.485, 79.715, 200.000, 0.000, 0.609, 0.014
65.131, -0.311, 187.919, 174.252, 80.715, 200.000, 0.000, 0.584, 0.015
66.051, -0.315, 185.345, 128.747, 81.715, 200.000, 0.000, 0.611, 0.015
66.992, -0.318, 187.919, 174.252, 82.715, 200.000, 0.000, 0.560, 0.017
67.900, -0.322, 180.196, -53.275, 83.715, 200.000, 0.000, 0.689, 0.018
68.815, -0.327, 182.771, 459.259, 84.715, 200.000, 0.000, 0.665, 0.019
69.703, -0.331, 177.622, 665.231, 85.715, 200.000, 0.000, 0.717, 0.020
70.613, -0.336, 180.196, 777.797, 86.715, 200.000, 0.000, 0.615, 0.021
71.538, -0.341, 177.622, 794.562, 87.715, 200.000, 0.000, 0.590, 0.021
72.468, -0.345, 182.771, 583.800, 88.715, 200.000, 0.000, 0.617, 0.020
73.396, -0.350, 185.345, 507.160, 89.715, 200.000, 0.000, 0.669, 0.020
74.338, -0.354, 195.642, -55.670, 90.715, 200.000, 0.000, 0.566, 0.018
75.289, -0.359, 182.771, -19.745, 91.715, 200.000, 0.000, 0.593, 0.018
76.227, -0.362, 185.345, 399.384, 92.715, 200.000, 0.000, 0.593, 0.016
