6.934, 0.039, 0.005, 457, 0
6.923, 0.040, -0.007, 446, 0
6.904, -0.133, 0.026, 435, 0
6.928, -0.028, -0.017, 421, 0
6.931, -0.006, -0.000, 409, 0
6.916, -0.023, 0.003, 398, 0
6.903, 0.024, -0.017, 387, 0
6.931, 0.013, -0.081, 373, 0
6.918, 0.044, 0.072, 361, 0
6.903, -0.005, 0.018, 350, 0
6.945, 0.015, -0.012, 336, 0
6.925, 0.013, -0.054, 324, 0
6.931, -0.185, -0.014, 312, 0
6.931, -0.103, -0.154, 299, 0
6.945, -0.009, -0.001, 286, 0
6.945, -0.024, -0.024, 274, 0
6.902, -0.028, 0.009, 262, 0
6.913, -0.017, 0.035, 250, 0
6.932, 0.000, -0.017, 237, 0
6.902, 0.026, 0.007, 225, 0
6.893, 0.030, -0.000, 212, 0
6.932, 0.040, -0.000, 199, 0
6.953, -0.001, 0.009, 186, 0
6.937, -0.066, -0.014, 174, 0
6.930, -0.002, 0.006, 161, 0
6.940, 0.021, -0.016, 148, 0
6.912, -0.000, -0.006, 136, 0
6.902, -0.014, -0.001, 123, 0
6.938, -0.032, 0.072, 110, 0
6.908, -0.007, -0.028, 98, 0
6.938, -0.006, 0.006, 85, 0
6.918, 0.136, 0.029, 72, 0
6.956, -0.012, 0.013, 59, 0
6.923, 0.011, 0.011, 47, 0
6.956, 0.046, -0.011, 34, 0
6.932, 0.011, -0.007, 21, 0
6.924, -0.016, -0.004, 8, 0
6.930, 0.018, -0.000, -4, 0
6.921, -0.005, -0.003, -16, 0
6.960, -0.030, -0.001, -29, 0
6.942, -0.015, 0.010, -42, 0
6.916, -0.003, -0.026, -55, 0
6.907, -0.007, 0.029, -68, 0
6.923, -0.011, -0.024, -80, 0
6.934, -0.115, -0.066, -93, 0
6.954, -0.013, -0.010, -106, 0
6.924, -0.033, 0.000, -119, 0
6.948, -0.029, -0.012, -131, 0
6.930, 0.020, 0.078, -144, 0
6.952, -0.039, -0.005, -156, 0
6.945, -0.000, 0.021, -169, 0
6.942, -0.046, 0.010, -182, 0
6.942, -0.029, -0.001, -194, 0
6.947, -0.041, 0.001, -207, 0
6.948, -0.021, -0.005, -219, 0
6.925, -0.020, -0.011, -233, 0
6.900, 0.013, 0.016, -245, 0
6.905, 0.001, 0.003, -258, 0
6.897, 0.006, 0.000, -271, 0
6.898, -0.048, -0.032, -284, 0
6.939, -0.025, -0.014, -295, 0
6.895, -0.003, 0.001, -309, 0
6.915, -0.005, 0.002, -320, 0
6.931, 0.008, -0.028, -332, 0
6.895, -0.002, -0.010, -346, 0
6.910, -0.090, 0.102, -358, 0
6.907, -0.270, -0.075, -370, 0
6.893, 0.015, 0.014, -383, 0
6.928, -0.014, 0.005, -393, 0
6.907, 0.023, 0.001, -406, 0
6.931, -0.061, -0.003, -417, 0
6.884, -0.009, 0.034, -432, 0
6.917, -0.107, 0.003, -442, 0
6.876, -0.058, 0.002, -456, 0
6.879, 0.004, 0.005, -468, 0
6.885, -0.005, 0.006, -480, 0
6.878, -0.228, -0.038, -492, 0
6.929, -0.066, 0.006, -500, 0
6.889, -0.048, -0.009, -515, 0
6.873, -0.024, -0.013, -527, 0
6.905, 0.017, 0.030, -537, 0
6.883, -0.046, 0.003, -548, 0
6.849, -0.029, -0.010, -561, 0
6.900, 0.105, -0.005, -571, 0
6.885, -0.122, 0.003, -584, 0
6.878, 0.163, 0.026, -595, 0
6.875, -0.426, -0.011, -607, 0
6.874, -0.292, -0.038, -618, 0
6.895, -0.005, 0.016, -628, 0
6.904, 0.020, 0.041, -638, 0
6.822, -0.076, -0.009, -653, 0
6.871, -0.048, 0.014, -660, 0
6.859, 0.006, 0.008, -672, 0
6.863, -0.127, -0.032, -685, 0
6.888, -0.051, -0.006, -693, 0
6.884, 0.123, 0.062, -704, 0
6.894, 0.001, -0.002, -714, 0
6.859, 0.129, -0.017, -727, 0
6.864, -0.026, -0.020, -737, 0
6.887, 0.123, 0.087, -745, 0
6.896, 0.040, -0.002, -754, 0
6.896, -0.028, 0.029, -764, 0
6.860, -0.086, -0.017, -778, 0
6.889, 0.025, -0.012, -785, 0
6.881, -0.055, -0.013, -796, 0
6.876, 0.055, 0.017, -806, 0
6.872, -0.005, -0.021, -816, 0
6.886, -0.042, -0.020, -824, 0
6.808, -0.119, -0.003, -836, 0
6.883, 0.022, -0.003, -843, 0
6.832, 0.239, 0.007, -858, 0
6.853, 0.068, -0.003, -865, 0
6.845, -0.018, 0.001, -875, 0
6.888, -0.078, -0.006, -878, 0
6.855, -0.001, 0.000, -891, 0
6.852, 0.230, 0.102, -900, 0
6.835, -0.022, -0.003, -910, 0
6.875, -0.028, 0.018, -913, 0
6.868, 0.071, -0.081, -921, 0
6.855, 0.013, 0.012, -932, 0
6.852, -0.090, -0.087, -940, 0
6.833, -0.105, -0.005, -951, 0
6.845, -0.062, 0.002, -957, 0
6.890, -0.035, 0.020, -958, 0
6.888, -0.003, -0.002, -966, 0
6.859, -0.038, -0.011, -977, 0
6.873, 0.006, 0.005, -983, 0
6.873, -0.063, 0.002, -990, 0
6.843, 0.038, 0.038, -1001, 0
6.819, -0.059, 0.027, -1012, 0
6.847, -0.011, 0.018, -1016, 0
6.885, -0.010, -0.001, -1016, 0
6.833, 0.285, 0.010, -1031, 0
6.818, -0.045, 0.029, -1037, 0
6.786, -0.142, 0.028, -1044, 0
6.848, 0.032, -0.054, -1048, 0
6.835, -0.049, -0.002, -1056, 0
6.858, -0.058, 0.019, -1059, 0
6.835, -0.019, -0.012, -1063, 0
6.853, -0.064, 0.002, -1072, 0
6.860, -0.069, -0.005, -1076, 0
6.820, -0.024, -0.007, -1089, 0
6.871, 0.036, 0.000, -1086, 0
6.825, -0.091, 0.001, -1099, 0
6.789, -0.150, -0.001, -1107, 0
6.853, 0.010, 0.000, -1105, 0
6.819, -0.022, 0.005, -1116, 0
6.876, 0.018, -0.012, -1112, 0
6.818, -0.179, -0.127, -1126, 0
6.854, -0.063, 0.008, -1125, 0
6.856, 0.004, -0.006, -1130, 0
6.840, -0.065, 0.000, -1137, 0
6.862, -0.124, -0.008, -1138, 0
6.825, -0.044, -0.017, -1149, 0
6.833, 0.043, -0.008, -1151, 0
6.825, -0.049, 0.006, -1158, 0
6.847, 0.040, 0.036, -1158, 0
6.798, -0.105, -0.010, -1170, 0
6.850, -0.124, 0.026, -1164, 0
6.835, -0.089, 0.016, -1171, 0
6.847, -0.167, 0.017, -1173, 0
6.853, 0.030, -0.006, -1176, 0
6.830, -0.304, 0.093, -1183, 0
6.810, 0.136, 0.108, -1190, 0
6.838, -0.018, -0.008, -1188, 0
6.836, 0.029, 0.019, -1192, 0
6.826, -0.031, 0.000, -1197, 0
6.807, -0.521, 0.026, -1202, 0
6.819, -0.170, 0.017, -1204, 0
6.830, -0.086, 0.007, -1202, 0
6.849, 0.028, -0.014, -1203, 0
6.854, 0.019, -0.008, -1205, 0
6.767, 0.055, 0.017, -1215, 0
6.835, -0.075, -0.007, -1213, 0
6.812, -0.066, 0.022, -1219, 0
6.825, 0.221, 0.056, -1217, 0
6.834, -0.124, 0.072, -1218, 0
6.836, 0.004, 0.017, -1219, 0
6.806, 0.094, -0.009, -1226, 0
6.832, 0.067, 0.001, -1222, 0
6.833, -0.019, 0.024, -1224, 0
6.817, -0.101, -0.001, -1228, 0
6.805, -0.117, 0.029, -1231, 0
6.827, -0.002, -0.021, -1228, 0
6.826, -0.249, -0.006, -1229, 0
6.821, -0.073, 0.011, -1230, 0
6.811, -0.112, 0.018, -1232, 0
6.825, 0.291, 0.014, -1230, 0
6.845, 0.046, 0.020, -1226, 0
6.832, 0.036, 0.002, -1229, 0
6.827, -0.090, 0.002, -1229, 0
6.801, -0.130, 0.044, -1234, 0
6.827, 0.032, 0.016, -1229, 0
6.816, -0.083, -0.011, -1230, 0
6.790, 0.123, -0.109, -1233, 0
6.820, -0.011, 0.000, -1228, 0
6.835, -0.027, 0.024, -1224, 0
6.833, 0.142, 0.011, -1223, 0
6.833, -0.100, -0.002, -1222, 0
6.841, -0.047, -0.001, -1219, 0
6.818, -0.028, 0.002, -1222, 0
6.822, -0.125, 0.005, -1219, 0
6.817, -0.270, 0.139, -1219, 0
6.818, -0.386, 0.062, -1216, 0
6.810, 0.000, 0.019, -1216, 0
6.829, -0.052, 0.006, -1210, 0
6.802, -0.043, 0.022, -1213, 0
6.837, 0.026, 0.020, -1204, 0
6.811, 0.016, 0.001, -1206, 0
6.801, 0.022, 0.019, -1202, 0
6.728, -0.152, 0.022, -1200, 0
6.818, 0.095, -0.011, -1197, 0
6.802, 0.085, -0.010, -1196, 0
6.795, 0.078, -0.008, -1194, 0
6.769, 0.053, 0.020, -1194, 0
6.809, -0.089, -0.000, -1185, 0
6.829, -0.057, -0.018, -1178, 0
6.752, -0.008, -0.007, -1176, 0
6.833, 0.034, 0.014, -1170, 0
6.783, -0.060, 0.025, -1174, 0
6.841, 0.006, 0.004, -1161, 0
6.823, 0.022, 0.010, -1160, 0
6.805, 0.009, -0.024, -1160, 0
6.851, 0.063, -0.013, -1146, 0
6.828, 0.059, -0.015, -1146, 0
6.777, -0.079, -0.008, -1150, 0
6.834, 0.001, -0.021, -1136, 0
6.820, -0.001, 0.016, -1133, 0
6.781, -0.024, 0.011, -1135, 0
6.829, -0.015, -0.015, -1122, 0
6.796, 0.038, 0.102, -1122, 0
6.706, -0.009, 0.001, -1117, 0
6.839, -0.353, 0.007, -1104, 0
6.806, -0.264, 0.010, -1105, 0
6.771, -0.019, 0.014, -1105, 0
6.817, 0.018, 0.014, -1092, 0
6.806, -0.076, 0.020, -1088, 0
6.812, -0.017, -0.011, -1081, 0
6.791, 0.023, -0.081, -1078, 0
6.796, 0.010, -0.006, -1071, 0
6.789, -0.027, 0.014, -1065, 0
6.816, -0.073, -0.005, -1056, 0
6.765, -0.061, -0.006, -1057, 0
6.781, -0.082, 0.006, -1050, 0
6.798, -0.031, 0.008, -1040, 0
6.811, -0.026, -0.035, -1030, 0
6.805, 0.072, 0.018, -1024, 0
6.816, 0.044, -0.007, -1016, 0
6.807, -0.013, -0.009, -1010, 0
6.829, -0.072, 0.019, -1000, 0
6.821, -0.121, -0.016, -994, 0
6.832, 0.006, 0.012, -985, 0
6.831, -0.058, -0.001, -978, 0
6.812, -0.396, -0.008, -973, 0
6.738, -0.067, -0.003, -970, 0
6.766, -0.084, -0.022, -964, 0
6.814, -0.380, -0.035, -949, 0
6.820, 0.021, -0.010, -940, 0
6.788, -0.071, 0.037, -937, 0
6.793, 0.151, -0.002, -928, 0
6.786, 0.009, -0.024, -921, 0
6.834, -0.003, -0.022, -906, 0
6.821, -0.173, -0.011, -899, 0
6.794, -0.301, 0.029, -894, 0
6.803, 0.004, -0.035, -884, 0
6.811, 0.027, -0.030, -875, 0
6.805, -0.031, -0.026, -867, 0
6.827, -0.035, 0.014, -855, 0
